,Unnamed: 0,roles,companies,locations,experience,skills
598,598,Senior Data Scientist,News Technology Services,Bangalore/Bengaluru,4-8 Yrs,"Cloud computing
data science
Analytical
Machine learning
Agile
Manager Technology
Data quality
Data mining"
599,599,Sr Data Scientist,IHS Markit,Bangalore/Bengaluru,4-7 Yrs,"IT Skills
Data Science
Machine Learning
Project Management
Big Data
BPO
project management
Computer science"
600,600,Senior Data Scientist,QBurst,Bangalore/Bengaluru,3-6 Yrs,"Algorithms
Data Scientist
Natural Language Processing
Data Collection
Computer Vision
Machine Learning
Deep Learning"
601,601,Sr . Data Scientist,Harman Connected Services Corporation India Pvt.,Bangalore/Bengaluru,8-10 Yrs,"Mining
Operations research
Automation
Claims
Staffing
Analytical
Market research
FMCG"
602,602,Senior Data Scientist,Microsoft,Bangalore/Bengaluru,11-15 Yrs,"Azure
Computer science
Computer vision
deep learning
C++
data science
Machine learning
Deployment"
603,603,Senior Data Scientist,Soroco India,Bangalore/Bengaluru,4-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Marketing Manager
Customer Success
Events"
604,604,Senior Data Scientist - Data Platform,Gojek,Bangalore/Bengaluru,6-12 Yrs,"Quality improvement
GCP
Project management
Debugging
Cloud
Conceptualization
Subject Matter Expert
AWS"
605,605,Senior Manager - Data Scientist,Gojek,Bangalore/Bengaluru,10-15 Yrs,"Team management
Prototype
data science
Analytical
Machine learning
Agile
Statistics
Python"
606,606,Senior Data Scientist,Innoplexus,Pune,6-11 Yrs,"Computer science
Text mining
Computer vision
Artificial Intelligence
Genomics
Machine learning
Life sciences
Bioinformatics"
607,607,"Senior Data Scientist- Python, SQL",Vmware,Bangalore/Bengaluru,6-10 Yrs,"IT Skills
Python
Data Science
Machine Learning
Computer science
VMware
deep learning
Analytical"
608,608,Analyst Data Scientist,CAMSDATA TECHNOLOGIES INDIA PVT LTD,"Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
Computer science
Evaluation
Data analysis"
609,609,Senior Data Scientist,Nineleaps,Bangalore/Bengaluru,3-8 Yrs,"SQL
data mining
Java
Spark
data warehousing
database modeling
Python
Scala"
610,610,Sr. Data Scientist,Pegasus Knowledge Solutions India Private Limited,Bengaluru,5-10 Yrs,"Process design
Outbound
SAS
Analytical
Machine learning
Anova
SPSS
Data mining"
611,611,Sr Data Scientist / Data Scientist,intelligent industrial internet systems pvt ltd.,"Bangalore/Bengaluru, Mumbai (All Areas), India
(WFH during Covid)",2-6 Yrs,"learning
Python
Elasticsearch
communication
C
Jupyter
Spark
Pandas"
612,612,Senior Data Scientist AWS,Peopleplus Professional Services Pvt. Ltd.,Bangalore/Bengaluru,10-15 Yrs,"data science
Artificial Intelligence
Machine learning
Agile
Data collection
Programming
Data mining
AWS"
613,613,Senior Data Scientist,Gojek,Bangalore/Bengaluru,5-10 Yrs,"Mining
Version control
GIT
data science
Analytical
Shell scripting
Machine learning
data visualization"
614,614,"Senior Data Scientist, Product Analytics",Atlassian,Bangalore/Bengaluru,5-9 Yrs,"IT Skills
Python
Data Science
Tableau
Power BI
Service management
SAN
Instrumentation"
615,615,Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"IT Skills
Python
Machine Learning
Computer science
Data analysis
linear regression
Presales
Healthcare"
616,616,"Senior Data Scientist, Data Sciences",Vmware,Bangalore/Bengaluru,5-10 Yrs,"machine learning
verbal communication
Algorithms
R
SQL
Powerpoint
written
Python"
617,617,Senior Data Scientist,ORMAE (Operations Research Machine learning & Analytics Experts LLP),Bangalore/Bengaluru,5-10 Yrs,"D3 js
Spark
MongoDB
Tableau
Tensorflow
predictive analytics
machine learning
data analysis"
618,618,Senior - Data Scientist,AT and T Global Business Services India P. Ltd.,Bangalore/Bengaluru,8-10 Yrs,"Computer science
Mobile technology
Network design
Data modeling
MySQL
Consulting
Machine learning
Data mining"
619,619,Senior Data Scientist,Siemens,Bangalore/Bengaluru,3-8 Yrs,"Computer vision
DTS
Neural networks
Consulting
Machine learning
Agile
Signal processing
Forecasting"
620,620,Sr. Data Scientist,Ideapoke,Bengaluru,3-4 Yrs,"IT Skills
Python
Machine Learning
Artificial Intelligence
Cloud
Big Data
Computer science
Data analysis"
621,621,Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"IT Skills
Machine Learning
Computer science
Computer vision
deep learning
Data analysis
Neural networks
Presales"
622,622,Senior Data Scientist / Algorithms Specialist,amylogic,Bengaluru,4-5 Yrs,"technical
software
MPP
tools
sql
analytics
web
MySQL"
623,623,Data Analyst/Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-7 Yrs,"MS SQL
Algorithms
Consulting
Machine learning
Data collection
Tools
Data Analyst
Technology solutions"
624,624,Data Scientist,AGILITY HUMAN RESOURCE MANAGEMENT SERVICES PRIVATE LIMITED,"Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,"neural network NLP
bash
machine learning
Comm
NLP
Tensorflow
Theano
R"
625,625,Professional - Data Scientist / Analytics,Sutherland Global Services Inc,Hyderabad/Secunderabad,3-6 Yrs,"IT Skills
Python
Testing
Machine Learning
Tableau
Power BI
Statistical programming
Data analysis"
626,626,Data Scientist: Advanced Analytics,IBM,Pune,5-10 Yrs,"Training
advanced analytics
Interpersonal skills
data science
Circuit designing
Consulting
Machine learning
Open source"
627,627,Principal - Data Scientist,TVS Motor,Hosur,6-11 Yrs,"Development management
TQM
Project management
Machine learning
Middle level management
Data analytics
Manager Quality Control
Scientist 1"
628,628,Data Scientist: Advanced Analytics,IBM,Kolkata,5-10 Yrs,"IT Skills
Data Science
Machine Learning
Training
advanced analytics
Interpersonal skills
Circuit designing
Consulting"
629,629,Data Scientist,TVS Motor,Hosur,7-9 Yrs,"TQM
Project management
Middle level management
Data analytics
HR
Management
Vendor
Forecasting"
630,630,Data Scientist (Python/ML),TCS,Chennai,4-7 Yrs,"Data Science
Machine Learning
Python
data wrangling
SQL programming
SQL
data exploration
IT Skills"
631,631,"Data Scientist, Payments",Uber,Hyderabad/Secunderabad,1-5 Yrs,"Product management
Computer science
Analytical
Data collection
Engineering Design
data visualization
Bioinformatics
Analytics"
632,632,Principal Data Scientist / Computer Vision Solution Architect,Cyient,Hyderabad/Secunderabad,12-15 Yrs,"Image Processing
Computer Vision
Machine Learning
IT Skills
Java
J2EE
Python
Data Science"
633,633,Staff Specialist Data Scientist,BMC Software,Maharashtra,2-7 Yrs,"IT Skills
Python
Testing
Data Science
Machine Learning
Pytorch
Nltk
Tensorflow"
634,634,Data Scientist - III,General Mills,Mumbai,5-10 Yrs,"Supply chain
Data analysis
Automation
data science
Analytical
Mathematics
HTML
Data mining"
635,635,GIC - CONSUMER & MARKET INTELLIGENCE - DATA SCIENTIST,General Mills,Mumbai,3-4 Yrs,"Supply chain
Computer science
Data management
Analytical
Predictive modeling
Continuous improvement
Econometrics
Operations"
636,636,"Prin, Data Scientist",BNY Mellon,Pune,10-12 Yrs,"advanced analytics
data science
Deployment
Representative
Financial services"
637,637,Data Scientist,Boston Consulting Group,Delhi,2-5 Yrs,"Supply chain
Computer science
advanced analytics
Artificial Intelligence
Network analysis
Machine learning
Management consulting
Predictive modeling"
638,638,Data Scientist,Team Computers Pvt Ltd,New Delhi,2-6 Yrs,"Computer science
RF
Analytical
Machine learning
Healthcare
QlikView
MATLAB
Monitoring"
639,639,"Data Scientist, FinTech",Uber,Hyderabad/Secunderabad,1-5 Yrs,"Computer science
Mining
Root cause analysis
advanced analytics
Financial reporting
Analytical
data visualization
Bioinformatics"
640,640,Data Scientist Manufacturing Systems and Industry 4.0,Philips India Limited,Pune,5-9 Yrs,"Computer science
data science
Data modeling
Analytical
Machine learning
Healthcare
Data mining
Analytics"
641,641,"Senior Data Scientist, Data Engineering","Ryan, LLC.",Hyderabad/Secunderabad,4-7 Yrs,"Linux
data security
Machine learning
Agile
Data processing
Windows
Open source
Analytics"
642,642,Data Scientist - Insurance,Huquo Consulting Pvt. Ltd,"Noida, Gurgaon/Gurugram",1-6 Yrs,"KNN
SVM
Weighted KNN
Data Science
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling"
643,643,Data Scientist,First Employer,"Gurgaon/Gurugram, Delhi / NCR",4-8 Yrs,"machine learning
Python programming
cloud computing
IT Skills
Python
Data Science
Cloud
linear regression"
644,644,SAVP - Data Scientist - Data Science Team - Insurance Domain,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,9-14 Yrs,"Data Science
Data Scientist
Artificial Intelligence
Data Management
Data Modeling
Data Analytics
Machine Learning
Statistics"
645,645,Data Scientist - Data Science Team - Insurance Domain,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,8-13 Yrs,"Data Science
Data Scientist
Artificial Intelligence
Data Management
Data Modeling
Data Analytics
Machine Learning
Statistics"
646,646,Data Scientist,First Employer,"Gurgaon/Gurugram, Delhi / NCR",4-8 Yrs,"R
Linear Regression
Python
IT Skills
Data Science
Machine Learning
Cloud
Clustering"
647,647,Lead Data Scientist (Opening in MNC) (Bangalore),Krazy Mantra HR Solutions Pvt. Ltd,Bangalore/Bengaluru,10-13 Yrs,"NLP
Machine Learning
data mining
Hadoop
Map - Reduce
Spark
IT Skills
Technical Documentation"
648,648,Data Scientist - Insurance - IIM/IIT/NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-11 Yrs,"Data Science
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Statistics
Analytics
Python"
649,649,Data Scientist - Insurance - IIM/IIT/NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,12-16 Yrs,"IT Skills
Python
Data Science
Machine Learning
Project Management
BPO
project management
analytics"
650,650,Hiring For Data Scientist Lead with MNC-Bangalore/Pune-CTC-upto 35Lac,Vorales Consulting Services Pvt. Ltd.,"Pune, Bangalore/Bengaluru",8-13 Yrs,"XGBOOST
SVM
NLP
Ml Algorithms
Deep Learning"
651,651,Data Scientist - Insurance,Huquo Consulting Pvt. Ltd,"Noida, Gurgaon/Gurugram",2-7 Yrs,"PCA
Gradient Boosting Algorithm
Logistic Regression
Random Forest
KNN
SVM
Data Scientist
Time series"
652,652,Python Data Scientist - Banking/ Retail Domain - IIT/IIM/ISI/DSE,Huquo Consulting Pvt. Ltd,Delhi / NCR,1-5 Yrs,"Retail Domain
Data Structures
Banking
Scipy
R
SAS
Text Mining
Numpy"
653,653,Python Data Scientist - Banking/Retail Domain - IIT/IIM/ISI/DSE,Huquo Consulting Pvt. Ltd,Delhi / NCR,1-5 Yrs,"Retail Domain
Banking
Python
pandas
R
SAS
Data Structures
NLTK basics"
654,654,Python Data Scientist - Banking/Retail Domain - IIT/IIM/ISI/DSE,Huquo Consulting Pvt. Ltd,Delhi / NCR,1-5 Yrs,"Data Science
Text mining
NLTK
NLP
SAS
Data Scientist
Data Management
Data Analytics"
655,655,Manager - Data Scientist / Python - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,5-8 Yrs,"Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
656,656,Data Scientist - Machine Learning,ZISPL,Gurgaon/Gurugram,5-7 Yrs,"Data science
Machine Learning
Python
Predictive Modeling
R
Cloud Computing
Power BI
Data Scientist"
657,657,Lead - Data Scientist - Banking Domain - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,4-8 Yrs,"Data Science
Team leading
NLP
Data Mining
Data Visualization
Text Mining
Machine Learning
Python"
658,658,Manager - Data Scientist - Insurance,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,3-7 Yrs,"Data Science
SAS
Data Scientist
Data Management
Statistical Modeling
Data Modeling
Data Analytics
Marketing Analytics"
659,659,Assistant Vice President - Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Delhi,6-11 Yrs,"Data Science
Predictive Modeling
Business Intelligence
Data Scientist
Data Management
Data Visualization
Data Mining
Tableau"
660,660,Python Data Scientist - Banking/ Retail Domain - IIT/ IIM /ISI/ DSE,Huquo Consulting Pvt. Ltd,Delhi / NCR,1-5 Yrs,"Data Science
NLP
SAS
Data Scientist
Data Management
Data Analytics
Statistics
Analytics"
661,661,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-4 Yrs,"Predictive Modeling
Data Science
Data Scientist
Data Management
Statistical Modeling
Tableau
Data Analytics
Statistics"
662,662,Assistant Vice President - Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Delhi / NCR,11-17 Yrs,"Data Science
Predictive Modeling
Business Intelligence
Data Scientist
Data Management
Data Visualization
Data Mining
Tableau"
663,663,Assistant Manager - Data Scientist - Insurance,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7 Yrs,"R
SAS
Python
Data Science
Data Scientist
Statistical Modeling
Data Modeling
Data Analytics"
664,664,Lead - Data Scientist - IIT/NIT/BITS,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,4-8 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Mining
Data Visualization
Machine Learning
Python"
665,665,Data Scientist - Python - BFS - IIT/DSE/IIM/NIT,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",2-5 Yrs,"Data Structures
pandas
Python
PySpark
NLTK
seaborn
scikit
Hbase"
666,666,Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",3-8 Yrs,"R
SQL
Python
Data Science
NLP
Data Scientist
Data Management
Statistical Modeling"
667,667,SAVP - Data Scientist - Data Science Team - Insurance Domain,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,8-13 Yrs,"Data Science
Artificial Intelligence
Data Management
Data Modeling
Data Analytics
Machine Learning
Statistics
Analytics"
668,668,Hiring Data Scientist ( DSU ) with a Leading Bank,SKILLVENTORY,New Delhi,5-10 Yrs,"Data Science
Predictive Modeling
Customer Experience
Artificial Intelligence
Natural Language Processing
Business Understanding
Deep Learning
Analytics"
669,669,Lead Data Scientist - KYC/Fraud/Marketing,Tide Software,Bangalore/Bengaluru,1-6 Yrs,"business intelligence
Machine Learning
PyTorch
data transform in warehouse
Software development
communication
TensorFlow
SQL"
670,670,Lead Data Scientist,Becton Dickinson India Pvt Ltd,Bangalore/Bengaluru,8-14 Yrs,"advanced analytics
spark
Machine learning
power bi
Data analytics
data visualization
Predictive analytics
Business operations"
671,671,Lead Data Scientist required For CU Rise Analytics,CURise Analytics Pvt. Ltd. (A Trellance Company),"Ahmedabad, Bangalore/Bengaluru",5-10 Yrs,"R
GitHub
Markdown
Python
Git
Data Science
Data Mining
Data Visualization"
672,672,"Lead Data Scientist, Presales",Moveworks,Bangalore/Bengaluru,7-12 Yrs,"Usage
Presales
Analytics"
673,673,Lead Data Scientist,CommerceIQ,Bangalore/Bengaluru,2-4 Yrs,"Supply chain
Computer science
Machine learning
Customer service
Data mining
Forecasting
Analytics
SQL"
674,674,Lead Data Scientist AI/ML,Peopleplus Professional Services Pvt. Ltd.,Bangalore/Bengaluru,8-14 Yrs,"Computer science
Analytical skills
deep learning
Data analysis
data science
Project management
Machine learning
Predictive modeling"
675,675,Lead Data Scientist,TEKION,Bangalore/Bengaluru,3-8 Yrs,"Machine Learning
data visualization
verbal
git
Natural Language
big data
presentation
analytics"
676,676,Lead Data Scientist,Target,Bengaluru,5-10 Yrs,"Supply chain
Computer science
Consulting
Machine learning
Agile
Network planning
Open source
Forecasting"
677,677,Lead Data Scientist,DAZN,Bangalore/Bengaluru,6-9 Yrs,"Pytorch
Object Detection
Opencv
Data Scientist
Computer Science
Neural Networks
Data Collection
Computer Vision"
678,678,Lead Data Scientist,Team4Progress,"Mumbai, Pune, Bangalore/Bengaluru",5-8 Yrs,"Computer science
Statistical modeling
data science
Machine learning
Data structures
Data Analyst
Statistics
Monitoring"
679,679,Lead Data Scientist,Nao,Bangalore/Bengaluru,2-5 Yrs,"Data Scientist
Pandas
Data Analytics
Sql Queries
Python"
680,680,Lead Data Scientist,Multi Recruit,Bangalore/Bengaluru,15-17 Yrs,"Data Science
Predictive Modeling
R
Nlp
Big Data
Data Analysis
Data Analytics
Computer Vision"
681,681,Data Science - Lead Data Scientist,Paytm,"Pune, Bangalore/Bengaluru",3-5 Yrs,"Computer science
Computer vision
Translation
data science
Neural networks
Cloud
Deployment
Research"
682,682,Lead data Scientist,"Rakuten, Inc.",Bangalore/Bengaluru,7-10 Yrs,"Computer science
Analytical
Machine learning
Predictive modeling
Data mining
Business solutions
Information technology
Financial services"
683,683,Lead Data Scientist,Xpheno,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"Project development
deep learning
data science
GCP
Machine learning
Deployment
data visualization
Analytics"
684,684,Sr.Data Scientist,Innefu Labs,Delhi,3-8 Yrs,"python
NLP
DL
ML
IT Skills"
685,685,Urgently looking For Data Scientist For Bangalore and Gurgaon location,DELTA SYS-TECH(INDIA) PVT LTD,"Noida, Rewari, Beri, Jhajjar, Gurgaon/Gurugram, Bhiwadi, Matenhail, Bangalore/Bengaluru, Greater Noida
(WFH during Covid)",7-10 Yrs,"R
communications
SQL
Python
Java
IT Skills
Data Scientist"
686,686,Senior Data & Applied Scientist,Microsoft,"Noida, Bangalore/Bengaluru",5-8 Yrs,"Computer science
C++
Software design
Machine learning
Perl
microsoft
Data mining
Ruby"
687,687,Data Scientist,The HRBPs,"Mumbai, Bangalore/Bengaluru, Delhi / NCR",3-8 Yrs,"machine learning
SQL
algorithm design
data mining
PostgreSQL
Cassandra
Weka
NumPy"
688,688,Data scientist - Gurgaon ( For Large Corporate House),Industrial Personnel Network,Gurgaon/Gurugram,3-7 Yrs,"python
R
Data science
data scientist
Machine Learning"
689,689,NLP Data Scientist,Bigshyft Hiring for PayU Finance,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",5-10 Yrs,"Natural Language Processing NLP
Machine Learning ML
Deep Learning
Python"
690,690,Data Scientist - Credit Risk,Scienaptic Systems,Bangalore/Bengaluru,3-8 Yrs,"IT Skills
Python
Machine Learning
Analytical
Consulting
Credit risk
Data mining
Open source"
691,691,Data Scientist,Odessa,Bangalore/Bengaluru,5-7 Yrs,"Predictive Modeling
R
Business Solutions
Google Analytics
Data Scientist
Neural Networks
Data Mining
Text Mining"
692,692,Data Scientist,Thoucentric,Bangalore/Bengaluru,4-8 Yrs,"Computer science
deep learning
Computer vision
Machine learning
Data processing
Natural language processing
Forecasting
Analytics"
693,693,Data Scientist,NEEMTREE INTERNET PVT LTD,Bengaluru,3-6 Yrs,"Automation
SAS
RF
Data modeling
Machine learning
Data quality
Business intelligence
Analytics"
694,694,"Data Scientist, PHM",Collins Aerospace,Bangalore/Bengaluru,9-15 Yrs,"deep learning
ASIC
Prototype
Simulation
Image processing
electromechanical
Instrumentation
Data analytics"
695,695,SDE2 Data Scientist,Multi Recruit,Bangalore/Bengaluru,2-7 Yrs,"Data Science
Bpo
Customer Service
Logistic Regression
Telecalling
Credit Risk
Machine Learning
Python"
696,696,SDE1 Data Scientist,Multi Recruit,Bangalore/Bengaluru,8-13 Yrs,"Data Science
Bpo
Customer Service
Logistic Regression
Telecalling
Credit Risk
B . Tech
Personal Loans"
697,697,CoE - Data Scientist,Concentrix,Bangalore/Bengaluru,7-12 Yrs,"IT Skills
Python
Machine Learning
Power BI
model validation
SAS
SPSS
data visualization"
698,698,Lead Machine Learning Engineer/ Data Scientist,whiz.ai,Pune,5-9 Yrs,"Data Science
Nlp
Logistic Regression
Data Scientist
Big Data
Machine Learning
Deep Learning
Scikit - Learn"
699,699,Full Stack Data Scientist (Associate/ Sr Associate),MSCI,"Mumbai, Pune",3-8 Yrs,"Machine Learning
AWS
Python
Data Science
Data Visualization"
700,700,Senior Data Scientist,Successr HR Tech PVT LTD,"Bangalore/Bengaluru
(WFH during Covid)",5-10 Yrs,"machine learning systems
Deep Learning
NLP
IT Skills
Python
Testing
Data Science
Machine Learning"
701,701,"Lead / Sr. Data Scientist, Bangalore",Talent Bee Consulting Pvt. Ltd,Bangalore/Bengaluru,3-8 Yrs,"IT Skills
Java
Python
Machine Learning
Pytorch
R
NLP
Data Scientist"
702,702,Senior Data Scientist - Python/Machine Learning Algorithms,Altimax Business Solutions,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",4-9 Yrs,"ML algorithms
Machine Learning Algorithms
Python
Perl
Data Science
Data Analytics
Machine Learning
Django"
703,703,Senior Data Scientist,Successr HR Tech PVT LTD,"Bangalore/Bengaluru
(WFH during Covid)",5-10 Yrs,"Pytorch
Keras
Python
IT Skills
Testing
Data Science
Machine Learning
Entity Extraction"
704,704,Senior Data Scientist,Inflexon Point,Bangalore/Bengaluru,5-10 Yrs,"Pytorch
Sciki-learn
Python
Cnn
Rnn
NLP
Lstm
Reinforcement Learning"
705,705,Senior Data Scientist,Successr HR Tech PVT LTD,"Bangalore/Bengaluru
(WFH during Covid)",5-10 Yrs,"PyTorch
Scikit-learn
Python
IT Skills
Testing
Data Science
Machine Learning
Cnn"
706,706,Senior Data Scientist,PlaceMinds Consulting Pvt. Ltd,"Mumbai, Pune, Bangalore/Bengaluru",6-11 Yrs,"Data science
Analytics
Predictive Modeling
Java Portal
Text Analytics
Hadoop
Natural Language Processing
Text Mining"
707,707,Senior Data Scientist - SQL/Python/Numpy,Serving Skill,Bangalore/Bengaluru,2-6 Yrs,"Data Science
Data Scientist
Pandas
Numpy
Deep Learning
SQL
Python"
708,708,Sr Data Scientist,Successr HR Tech PVT LTD,"Bangalore/Bengaluru
(WFH during Covid)",5-10 Yrs,"git
restful APIs
flask
IT Skills
Python
Testing
Data Science
Machine Learning"
709,709,Senior/Lead Data Scientist - Machine Learning/Deep Learning,Squareroot Consulting Pvt Ltd,Bangalore/Bengaluru,1-5 Yrs,"NLP
Machine Learning
Deep Learning
IT Skills
Python
Data Science
Data Scientist
Artificial Intelligence"
710,710,Data Scientist,Bigshyft Hiring for Coinbase,Hyderabad/Secunderabad,4-8 Yrs,"Java
R
Scala
Spark
Python"
711,711,Data Scientist / Analytics,Peoplefy Infosolutions Pvt. Ltd.,Mumbai (All Areas),4-9 Yrs,"Data Science
Time Series Analysis
Forecasting"
712,712,Data Scientist,Pocket FM,"Bangalore/Bengaluru
(WFH during Covid)",3-5 Yrs,"Machine Learning
Python
SQL
Pr
success metrics
advanced statical
Statistical Modeling
Product Analystics"
713,713,Data Scientist,Burgeon IT Services Pvt ltd,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",6-11 Yrs,"Spark
R
GitHub
relational database management
Cosmos
Hadoop
SQL
Python"
714,714,Data Scientist ( IT,Jacobs,Navi Mumbai,7-12 Yrs,"Data Science
Informatica Power Center
Power Bi
Business Analytics
Data Scientist
Statistical Modeling
Data Visualization
Machine Learning"
715,715,Data Scientist,Servsys Technology Services India Pvt. Lt,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,"Data Science
python
Machine Learning
NumPy
visualization
pandas
communication
agile"
716,716,Data Scientist with Strong Analytics Experience,Concentrix,"Bangalore/Bengaluru, Delhi / NCR",7-12 Yrs,"Predictive Modeling
R
SAS
Classification
Market Basket Analysis
Model Building
Machine Learning
Analytics"
717,717,Data Scientist 2,PayPal,Chennai,6-10 Yrs,"Unix
Computer science
Operations research
Payment processing
data science
Machine learning
Wellness
Financial services"
718,718,Data Scientist,EA Games (Electronic Arts),Hyderabad/Secunderabad,3-8 Yrs,"Data Science
Nlp
Software Engineering
Data Scientist
Natural Language Processing
Computer Science
Machine Learning
Deep Learning"
719,719,Data Scientist - Python/Tableau,Accubits Technologies,Trivandrum/Thiruvananthapuram,4-8 Yrs,"R
Tableau
Python
IT Skills
Testing
Machine Learning
Spotfire
Data Science"
720,720,Data Scientist - Python/Machine Learning,Accubits Technologies,Trivandrum/Thiruvananthapuram,4-8 Yrs,"Tableau
Machine Learning
Python
D3J
Excel
Hadoop
Hive
Spark"
721,721,Data Scientist,Fractal Analytics,Pune,3-6 Yrs,"Data Science
Data Scientist
Advanced Analytics
Big Data
Data Warehousing
Machine Learning
Supply Chain
Python"
722,722,Data Scientist,mPokket,Kolkata,3-5 Yrs,"Quantitative Analysis
Hive
R
Data Scientist
Hadoop
Operations Research
Computer Science
Statistical Analysis"
723,723,Data Scientist,Efftronics Systems Pvt. Ltd.,mangalagiri,5-10 Yrs,"Python
agile
BigData framework
Java
C Scripting
IT Skills
Computer science
Data analysis"
724,724,Principal Data Scientist,Fractal Analytics,Mumbai,5-10 Yrs,"Nlp
Artificial Intelligence
Data Scientist
Machine Learning
Statistical Analysis
Deep Learning
Python
Natural Language"
725,725,Data Scientist,EarlySalary.com,Chennai,2-7 Yrs,"Data Science
General Statistics
Data Scientist
Artificial Intelligence
Risk Analytics
Neural Networks
Big Data
Machine Learning"
726,726,Data Scientist,NEEMTREE INTERNET PVT LTD,"Gurgaon, haryana",4-8 Yrs,"Computer science
deep learning
Risk assessment
Artificial Intelligence
Machine learning
Regression analysis
Business intelligence
Analytics"
727,727,Data Scientist Expert for AI/ML Project,Concentrix,Gurgaon/Gurugram,2-7 Yrs,"IT Skills
Python
Machine Learning
Cloud
Object oriented design
metadata
Team management
Image processing"
728,728,Data Scientist (Python) Immediate Joiner required,VALIANCE ANALYTICS PRIVATE LIMITED,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru
(WFH during Covid)",1-3 Yrs,"Predictive Modeling
Logistic Regression
Python
Random Forest"
729,729,Junior/Senior Data scientist,Burgeon IT Services Pvt ltd,Pune,3-8 Yrs,"EE deployment
flask API
Machine Learning
NLP
Python
IT Skills
IT services
GCP"
730,730,Data Scientist (R must),Aaum Research and Analytics Private Limited,"Chennai(Taramani)
(WFH during Covid)",0-3 Yrs,"R
Statistical Modeling
Neural Networks
Machine Learning"
731,731,Data Scientist,Snaphunt,Hyderabad/Secunderabad,0-1 Yrs,"analytical
R
Logistic Regression
communication
verbal
SQL
Text Mining
Python"
732,732,Data Scientist - Phd only,NDS Infoserv,Mumbai,0-2 Yrs,"Machine Learning
NLP
Deep Learning
IT Skills
Data Science"
733,733,Data Scientist (Risk Analytics - Derivatives) -JP Morgan - Mumbai,JPMorgan Chase,Mumbai (All Areas),0-4 Yrs,"Artificial Intelligence
Natural Language Processing
Probability
Derivatives
Machine Learning
Python"
734,734,Associate Data Scientist,Optum,Bangalore/Bengaluru,5-10 Yrs,"Python Technology stack
No SQL databases
SQL
IT Skills
Python
Software Development
Data Science
Machine Learning"
735,735,ASSOCIATE DATA SCIENTIST,Hinduja Global,Bangalore/Bengaluru,1-4 Yrs,"Text mining
MS SQL
Statistical analysis
MySQL
Machine learning
Oracle
Data mining
big data"
736,736,ASSOCIATE DATA SCIENTIST,Hinduja Global,Bangalore/Bengaluru,1-3 Yrs,"Text mining
MS SQL
Statistical analysis
MySQL
Machine learning
Oracle
Data mining
big data"
737,737,Associate Data Scientist,Encora,Bangalore/Bengaluru,4-8 Yrs,"Business Analytics
Artificial Intelligence
Sales Operations
Advanced Analytics
Data Management
Data Visualization
Tableau
Statistics"
738,738,Associate Data Scientist,Innoplexus,Pune,2-7 Yrs,"Computer science
Text mining
Computer vision
Image processing
Artificial Intelligence
Machine learning
Life sciences
Bioinformatics"
739,739,Great Opportunity For Data Scientist / Engineer Role,Institutional Shareholder Services,Mumbai,1-3 Yrs,"Data Science
Data Analytics
Python
Tensorflow
Pytorch
Matplotlib
Data Engineering
Data Mining"
