,roles,companies,locations,experience,skills
137,Data Analytics Manager - Machine Learning Algorithms,Confidential,Bangalore/Bengaluru,9-14 Yrs,"Data Ingestion
DataLake
BigQuery
Artificial Intelligence
Google Cloud Platform
Big Data
Data Analytics Manager
Data Analytics"
138,Data Scientist - Machine Learning,Synctactic AI,Bangalore/Bengaluru,8-13 Yrs,"Big Data
Deep Learning
data mining
Machine Learning
Data Science
NLP
Java
C"
139,Python Developer - Flask/Machine Learning,Carbynetech India,Hyderabad/Secunderabad,1-3 Yrs,"Git
Design Patterns
Machine Learning
Python
Flask"
140,Python Developer - Flask/Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,3-5 Yrs,"Machine Learning
Python
Flask
Design Principles
GIT
Design Patterns
Problem Solving"
141,Data Science/Analysis Expert - Machine Learning,Catalyst,Bangalore/Bengaluru,2-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Tableau
NLP
Data Scientist
Artificial Intelligence"
142,Computer Vision/ Machine Learning Expert - C/C++,Career Maker,Bangalore/Bengaluru,3-6 Yrs,"K-means
boosting
SVM
KNN
deep learning
expression analysis
scene analysis
software architecture"
143,Urgent Opening For artificial Intelligence/Machine Learning,Orcapod Consulting Services Private Limited,"Hyderabad/Secunderabad, Bangalore/Bengaluru",4-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Oracle
sql queries
application support"
144,Manager - EmTech - Machine Learning - MC Analytics,PwC,Mumbai,7-10 Yrs,"Machine learning
Analytics"
145,"Senior Product Manager, Machine Learning Platform",Better.com,remote,5-9 Yrs,"Product management
Loans
data science
Machine learning
Equity
Healthcare
Wellness
Analytics"
146,Sr. Machine Learning Engineer (Sr. AI),Teksun Microsys Pvt. Ltd.,Ahmedabad,3-8 Yrs,"statistical analysis
machine learning
deep learning
algorithms
IT Skills
Data Science
Embedded C
GIT"
147,DevOps Engineer Data or Machine Learning Engineer & Scrum Master,SQUALAS,Hyderabad/Secunderabad,4-9 Yrs,"DevOps
Scrum
Machine Learning
IT Skills
Data Science
Oracle
Oracle database
data engineering"
148,Big Data / Data Science / Machine Learning / Solution Architect,Micron Tech,Hyderabad/Secunderabad,2-7 Yrs,"Big Data
Machine Learning
Data Science
Java
Hadoop
Flume
data engineering
HBase"
149,Analyst - Data Science - Python/Machine Learning/Analytics,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,4-6 Yrs,"Data Science
Statistical Modeling
Data Analytics
Machine Learning
Analytics
Python
SQL"
150,Analyst - Data Science - Python/Machine Learning/Analytics,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,4-6 Yrs,"Data Science
Logistic Regression
Decision Tree
data processing
Statistical Modeling
Random Forests
SVM
Data Analytics"
151,Machine Learning Engineer - Computer Vision,Best Infosystems Ltd,Chennai,5-10 Yrs,"Java
C
OpenCV
Image Processing
Eclipse
Simulink
Computer Vision
Machine Learning"
152,Machine Learning Engineer- Bangalore,Shanvi Staffing And Training Services,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",3-5 Yrs,"IT Skills
Python
Software Development
Data Science
Machine Learning
Cloud
AWS"
153,Machine Learning Engineer - Deep Learning Startup,Connexions,Bangalore/Bengaluru,1-2 Yrs,"Java
Machine Learning
Python
Linux
C++
algorithm design
data structures
Tensorflow"
154,Machine Learning Ops Engineer,BCFORWARD INDIA TECHNOLOGIES PRIVATE LIMITED,"Hyderabad/Secunderabad, Bangalore/Bengaluru
(WFH during Covid)",5-10 Yrs,"IT Skills
Python
Quality Assurance
Data Science
Machine Learning
Cloud
Big Data
deep learning"
155,Machine Learning Engineer,Talent Stock Solutions,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",2-7 Yrs,"NLP
Natural Language Processing
machine learning"
156,Product Development Engineer - Machine Learning/Deep Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,3-8 Yrs,"IT Skills
Java
Python
Machine Learning
Big Data
Tensorflow
NLP
Scala"
157,Lead Machine Learning,First Employer,"Pune, Delhi / NCR",5-8 Yrs,"MLOps
Cloud Services
Python
Keras
Decision Tree
Reduction Statistical
Time Series
ElasticSearch"
158,Speech Scientist - Artificial Intelligence/ Machine Learning,Career Maker,Bangalore/Bengaluru,3-8 Yrs,"Artificial Intelligence
Machine Learning
Python
IT Skills
Java
Data Science
Biometrics
Speech Recognition"
159,Machine Learning Engineer,Tookitaki Holding PTE LTD,Bangalore/Bengaluru,1-3 Yrs,"IT Skills
Machine Learning
Cloud
Big Data
deep learning
Architecture
big data analytics
spark"
160,Openings For Machine Learning For Executive role,Accenture,"Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",12-16 Yrs,"IT Skills
Python
Data Science
Machine Learning"
161,Machine Learning Engineer,Quantiphi Analytics Solutions Pvt. Ltd.,"Mumbai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",2-5 Yrs,"Tensorflow
Python
Graph neural
C
Deep Learning
ML
Spark
CUDA"
162,Staff Software Engineer (Machine Learning/Operations Research),Walmart,Bangalore/Bengaluru,3-7 Yrs,"Computer science
deep learning
Operations research
Network optimization
Machine learning
Distribution system
Analytics
Monitoring"
163,Accenture- Machine Learning,Accenture,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",12-20 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Oracle
Big Data
Natural Language Processing"
164,Research Scientist - Machine Learning/ Artificial Intelligence,Career Maker,Bangalore/Bengaluru,5-10 Yrs,"Python
data structures
Speech Recognition
Signal Processing
algorithmic
Artificial Intelligence
Java
C++"
165,"Sr. Machine Learning Engineer, SMAI",Micron Tech,Hyderabad/Secunderabad,3-8 Yrs,"Machine Learning
PyTorch
TensorFlow
continuous integration
scikit-learn
MSSQL
Jenkins
AZURE"
166,Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,Bangalore/Bengaluru,4-9 Yrs,"Deep Learning
Artificial Intelligence
Machine Learning
R
NoSQL
YOLO
VGG
Python"
167,Senior Scientist/ NLP/ Machine Learning/ Data Mining Professional,Career Maker,Bangalore/Bengaluru,2-7 Yrs,"IT Skills
Java
Python
Software Development
Machine Learning
C++
R
NLP"
168,Machine Learning Developer,Damco,Remote,4-6 Yrs,"IT Skills
Python
Data Science
AWS
Tensorflow
NLP
Docker
Terraform"
169,Python Developer with keen interest in Machine Learning,Harmony Data Integration Technologies,Mohali,2-7 Yrs,"Cloud Platform
Machine Learning
Python
Javascript
XPath
Regex
Node JS
Artificial Intelligence"
170,Data Analyst - Machine/Deep Learning Algorithms,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",2-7 Yrs,"SQL
Deep Learning Algorithms
Python
TensorFlow
DL
SVM
machine learning
XGBoost"
171,ACN - Applied Intelligence - GCP - Machine Learning Engineer - 10,Accenture,Chennai,2-7 Yrs,"IT Skills
Java
Python
Testing
Data Science
Machine Learning
Cloud
Prototype"
172,Engineer - Machine Learning,Getinz Techno Services,Chennai,3-6 Yrs,"Tensorflow
Python
Spark ML
H2O
Software Development
Machine Learning
Scala
dockers"
173,Machine Learning Engineer,Docsumo,Remote,1-6 Yrs,"data science
OpenCV
Python
Keras
Panda
deep learning
JSON
machine learning"
174,Machine Learning Engineer,AERA SOFTWARE TECHNOLOGY PVT LTD,Pune,3-7 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
DevOps
Big Data
Docker"
175,Data Scientist - SQL/Python/Machine Learning Algorithms,TalentStack,Bangalore/Bengaluru,1-4 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Predictive Modeling
R
Data Scientist"
176,Research Engineer - Big Data/ Machine Learning - Java/C++/Perl/ Python,Career Maker,Bangalore/Bengaluru,3-8 Yrs,"IT Skills
Java
Python
Software Development
Machine Learning
Cloud
Big Data
C++"
177,Data Scientist - Artificial Intelligence/ Machine Learning,Confidential,Hyderabad/Secunderabad,4-8 Yrs,"Neo4j
Cassandra
LSTM
NLP
tensor flow
RDBMS
BIDAF
MongoDB"
178,Principal Data Scientist - Machine Learning,Prime Infosoft,Bangalore/Bengaluru,4-9 Yrs,"Pytorch
Machine Learning
TensorFlow
Python
communication
analytical
Keras
Julia"
179,Data Scientist - Machine Learning,Catalyst,Bangalore/Bengaluru,2-7 Yrs,"Data Science
Data Quality
Data Scientist
Statistical Modeling
Statistical Analyst
Machine Learning"
180,Principal Data Scientist - Machine Learning,Prime Infosoft,Bangalore/Bengaluru,4-9 Yrs,"Keras
Machine Learning
TensorFlow
IT Skills
Python
Pytorch
Julia
R"
181,Data Scientist - Artificial Intelligence/Machine Learning,Executive Selection India,Hyderabad/Secunderabad,3-8 Yrs,"data
machine learning
ML Algorithms
management
AIML
Hadoop
Spark
ML Modelling"
182,Data Engineer - Artificial Intelligence/Machine Learning,zCodeLabs Software Services,"Kochi/Cochin
(WFH during Covid)",3-8 Yrs,"algorithms
machine learning
artificial intelligence
IT Skills
Java
Python
Big Data
Tableau"
183,Machine Learning Data Science Practitioner,Accenture,Bangalore/Bengaluru,12-15 Yrs,"IT Skills
Python
Software Development
Data Science
Machine Learning
Cloud
Big Data
Consulting"
184,Machine Learning Engineer,Confidential,"Mumbai, Bangalore/Bengaluru",3-5 Yrs,"python
Azure
Multivariate Regression
CUDA
analytical
R
Transfer learning
PyTorch"
185,Software Engineer - Machine Learning/Deep Learning,Future India Services,"India, Bangalore/Bengaluru",1-6 Yrs,"IT Skills
Testing
Data Science
Machine Learning
Pytorch
Predictive Modeling
Object Detection
Segmentation"
186,Senior Manager / Operations Research Scientist - Machine Learning,Career Maker,Bangalore/Bengaluru,5-10 Yrs,"Machine Learning
Algorithm
SQL
IT Skills
Java
Python
Javascript
Jenkins"
187,Senior Software Engineer Machine Learning,"ViaSat, Inc.",Chennai,8-15 Yrs,"Computer science
Cloud computing
C++
GCP
Analytical
Artificial Intelligence
Machine learning
Genetics"
188,Lead Data Scientist ( Machine Learning in Alteryx): 2+ Yrs : Cmmi L5,HITECHMIND SOLUTIONS PRIVATE LIMITED,"Noida, Delhi / NCR
(WFH during Covid)",4-9 Yrs,"Data Science
Data warehouses
SSAS
Teradata
Alteryx
SQL Server
SQL
BI"
189,Data Scientist | Data Engineer | Machine Learning,Pitney Bowes India Pvt ltd,Noida,4-9 Yrs,"Power Bi
data engineer
Machine Learning
Snowflake
Tableau
Microsoft SQL
Cloud BI
DataApps"
190,Lead Machine Learning Engineer - Python/Pandas,Job Fittment Finder,"Pune, Delhi / NCR",6-10 Yrs,"Pandas
Machine Learning
Python
IT Skills
Software Development
Testing
Quality Assurance
Data Science"
191,Machine Learning Engineer,Serviam Manpower,Gurgaon/Gurugram,2-4 Yrs,"R&D
computer vision techniques
Data scientist
computer vision
TENSORFLOW
Machine Learning Engineer
open CV
ocr"
192,Research Scientist- Machine Learning Development,Career Maker,Bangalore/Bengaluru,5-10 Yrs,"Java
C++
Perl
R
Data Management
Data Mining
Data Modeling
Machine Learning"
193,Machine Learning Engineer,PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED,"Gurgaon/Gurugram, Delhi / NCR",3-5 Yrs,"Elasticsearch
Python
Tensorflow
Statistical Modelling
Text Mining
Recommender Systems
Statistical Modeling
scikit"
194,General Analytics Engineer - Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7 Yrs,"Machine Learning
Python
SQL
IT Skills
Data Science
Tensorflow
Data Quality
Statistical Modeling"
195,General Analytics Engineer - Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7 Yrs,"DL frameworks
Machine Learning
Analytics
Tensorflow
Statistical Modeling
Random Forests
KNN
SVM"
196,Lead Machine Learning,First Employer,"Pune, Delhi / NCR",5-8 Yrs,"MLOps
Cloud Services
Machine Learning
Keras
Decision Tree
Reduction Statistical
Time Series
ElasticSearch"
197,Applied Intelligence - Machine Learning - Female Only (8-10 years),CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,"Gurgaon/Gurugram
(WFH during Covid)",9-12 Yrs,"python
data science
machine learning
IT Skills
Cloud
AWS
Tableau
Power BI"
198,Lead Machine Learning,First Employer,"Pune, Delhi / NCR",5-8 Yrs,"OOPs
Machine Learning
Python
Keras
Decision Tree
Reduction Statistical
Time Series
ElasticSearch"
199,Software Engineer - Artificial Intelligence/Machine Learning,Confidential,Trivandrum/Thiruvananthapuram,1-2 Yrs,"Machine Learning
AI
IT Skills
Testing
Pattern Recognition
Artificial Intelligence
Image Processing"
200,Machine Learning/AI Engineer,AVE-Promagne,"Noida, Kota, Kolkata, Visakhapatnam, Hyderabad/Secunderabad, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru, Delhi / NCR",3-8 Yrs,"deep learning
python
data analysis
data science
predictive analytics
machine learning
statistical analysis"
201,Job | Hiring Machine Learning (Python & SQL) - Photon,Photon,"Chennai, Bangalore/Bengaluru",5-10 Yrs,"communication
Python Language
Apache PySpark
BIGDATA
RDBMS
Pentaho Data Integration
IT Skills
Python"
202,Machine Learning Engineer,Synechron,"Pune, Bangalore/Bengaluru",5-10 Yrs,"Business consulting
PDF
Machine learning
Manager Technology
Equity
Analytics
SQL
Python"
203,Machine Learning Engineer,Ericsson Global Services,Bangalore/Bengaluru,10-20 Yrs,"Bidding
Google Analytics
Data management
PHP
Google AdWords
HTML
microsoft
Monitoring"
204,Machine learning,Sahrudaya Healthcare Pvt. Ltd.,Hyderabad/Secunderabad,1-4 Yrs,"Natural Language Processing
Data Analytics
Machine Learning
Statistics
Deep Learning"
205,Technical Architect - Machine learning,Quantiphi Analytics Solutions Pvt. Ltd.,"Mumbai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",4-9 Yrs,"System architecture
GCP
Machine learning
Agile
Data structures
test driven development
Natural language processing
Object oriented programming"
206,Microsoft Azure Machine Learning Technology Architect,Accenture,Bangalore/Bengaluru,6-8 Yrs,"IT Skills
Python
Testing
Machine Learning
Azure
Text mining
Computer vision
Logistic regression"
207,Machine Learning Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Kochi/Cochin, Kolkata, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Pune, Hyderabad
(WFH during Covid)",5-10 Yrs,"Computer Vision
Machine Learning
Python
IT Skills
Cloud
Pytorch
Tensorflow
Artificial Intelligence"
208,"Tools Development Engineer, Machine Learning",NVIDIA,Pune,3-6 Yrs,"C#
QA
deep learning
Automation
Image processing
Neural networks
Analytical
Machine learning"
209,Microsoft Azure Machine Learning,kk consulting services,Gurgaon/Gurugram,5-10 Yrs,"SAP
Image processing
Machine learning
SMS
HTTP
System software
Data mining
Software services"
210,Tech CoE - Big Data/Machine Learning,Confidential,Bangalore/Bengaluru,5-10 Yrs,"IT Skills
Machine Learning
Artificial Intelligence
Big Data
Design Data Architectures
Technology Evaluation"
211,Trainee-freshers-machine Learning,Aficionado Technologies Pvt Ltd,Bangalore/Bengaluru(BTM Layout),0-0 Yrs,"PCA
Python
DT&EL
Numpy
NLP
Deep Learning
LR
Keras"
212,Staff Software Engineer - Machine Learning,Twitter,Bangalore/Bengaluru,0-4 Yrs,"Computer science
SAN
C++
French
Machine learning
Data structures
Data processing
Distribution system"
213,Team Lead - Machine Learning,Airwoot,Delhi,0-6 Yrs,"Computer science
rest
algorithms
Support
Neural networks
Social media
Artificial Intelligence
Machine learning"
214,Python Developer - Flask/Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,3-5 Yrs,"Design Patterns
Python Developer
Machine Learning
Python
Flask"
215,Python Developer - Flask/ Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,3-5 Yrs,"Design Principles
GIT
Design Patterns
Problem Solving
Machine Learning
Python
Flask"
216,"Python Developer / AI Developer - Django, Machine Learning interns",Amar Technolabs Private Limited,Ahmedabad,0-3 Yrs,"Device Automation
communication
design patterns
debugging
troubleshooting
Python
OOPS
Automation Framework"
217,Senior Machine learning Engineer - Deep Learning Startup,Connexions,Bangalore/Bengaluru,3-7 Yrs,"Java
C++
Python
IT Skills
Data Science
Machine Learning
Pytorch
Tensorflow"
218,Machine Learning Engineer - Data Modeling/Data Science,Confidential,"Pune
(WFH during Covid)",4-6 Yrs,"Java
PyTorch
communication
Python
software architecture
data structures
opencv
Keras"
219,Data Scientist - Machine Learning / Statistical Modeling,Yogy HR Solutions,Mumbai,5-9 Yrs,"statistical modelling
machine learning
analytics
IT Skills
Data Science
Algorithms
Data Scientist
Statistical Modeling"
220,Data Scientist-Python Machine Learning,Jubna,"Noida, NCR",3-5 Yrs,"mapping
ML algorithms
analyses data
machine learning
IT Skills
AI
Python"
221,Machine Learning Engineer - Deep Learning Algorithms,Connexions,Bangalore/Bengaluru,1-2 Yrs,"Python tech stack
Machine Learning
Deep Learning Algorithms
IT Skills
Java
Python
Big Data
Data Science"
222,"Machine Learning Expert, AI Based Tech Company",The Recruiters,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru
(WFH during Covid)",4-8 Yrs,"XGBoost
Spark
PyTorch
Python
Azure
AWS
data visualisation
GCP"
223,Machine Learning Engineer - Python/Deep Learning,Mantras2Success Consultants,Hyderabad/Secunderabad,1-4 Yrs,"Java
Spark
Python
C++
Machine Learning
Scala
IT Skills
Big Data"
224,Director-Quant Analytics Machine Learning & Artificial Intelligence,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-10 Yrs,"Artificial Intelligence
Machine Learning
communication
IT Skills
Quantitative Trading
HFT
Algorithmic Trading
Analytics"
225,Machine Learning Engineer For Hyderabad location,Adecco India Private Limited,"Hyderabad/Secunderabad
(WFH during Covid)",1-4 Yrs,"Fintech
Machine Learning
Python
IT Skills
Java
Testing
R
Git"
226,Python Engineer - Machine Learning/Hive,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,3-7 Yrs,"Python
SQL
Hive
Machine Learning
IT Skills
Big Data
Tensorflow
Deep Learning"
227,Machine Learning Lead,Tigi Hr Solution,"Pune, Delhi / NCR",4-8 Yrs,"Machine Learning
APIs
Pytorch
MySQL
Clustering Algorithms
Dimensionality Reduction Algorithms
Artificial Neural Networks
MongoDB"
228,Director - Quant Analytics- Machine Learning & Artificial Intelligence,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-10 Yrs,"communication
Machine Learning
IT Skills
Artificial Intelligence
strategy automation
Machine Learning
Data Analysis
order management"
229,Senior Machine Learning Engineer,HigHRise Solutions LLP,Pune,4-9 Yrs,"NLP
DL
ML
REST APIs
Theano
verbal
sh
No - SQL"
230,Research Scientist/ Engineer - Computer Vision/ Machine Learning,Career Maker,Hyderabad/Secunderabad,4-9 Yrs,"communication
Multi - threading
Computer Vision
Image Processing
machine learning
written
verbal
OCR"
231,Machine Learning (ML) Engineer - SEA Countries,Maxima Consulting Inc,Pune,4-8 Yrs,"Computer science
spark
Analytical
devops
Machine learning
Cloud
Programming
Performance monitoring"
232,Machine Learning Engineer,Inavan India Technologies Private Limited,Kochi/Cochin,2-5 Yrs,"machine learning
deep learning
IT Skills
Pattern Recognition
Opencv
Image Processing
Neural Networks
Computer Vision"
233,Machine Learning Engineer,SHAIP.AI DATA (INDIA) LLP,Remote,5-10 Yrs,"AWS
python
machine learning
Cloud ML
IT Skills
Cloud
Product Management"
234,Data Science Manager - Artificial Intelligence / Machine Learning,Yogy HR Solutions,Navi Mumbai,10-15 Yrs,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
REST API development
TensorFlowKeras
PyTorch
scikit-learn"
235,Data Science Manager - Artificial Intelligence/Machine Learning,Yogy HR Solutions,Navi Mumbai,10-15 Yrs,"Data Science
Tensorflow
REST API
NLP
RDBMS
Artificial Intelligence
Data Management
Statistical Modeling"
236,Data Scientist (Machine Learning /AI),Mastermind Network,"Gurgaon/Gurugram
(WFH during Covid)",4-6 Yrs,"Tensorflow
Pytorch
deep learning
python
data science
Artificial Intelligence
decision trees
Natural Language Processing"
237,Data Scientist (Machine Learning /AI),Mastermind Network,"Delhi / NCR
(WFH during Covid)",4-6 Yrs,"Tensorflow
Pytorch
deep learning
python
data science
Artificial Intelligence
decision trees
Natural Language Processing"
238,Data Scientist / Advanced Analytics - Machine Learning,E2E Infoware Management Services Pvt Ltd,"Chennai, Bengaluru",1-5 Yrs,"RNN
Machine Learning
Predictive Analysis
Artificial Intelligence
Deep Learning
Statistical Learning
CNN
R Programming"
239,Matlab Programmer - OpenCV / Machine Learning,Young Mind Technology Solutions,"Tirupati, Karnataka, Telangana, Andhra Pradesh, Tamil Nadu",0-2 Yrs,"OpenCV
Machine Learning
Matlab
analytical
communication
IT Skills
Image processing
Algorithm"
240,Computer Vision/Image Processing & Machine Learning/Deep Learning,SIDDHI SOFTECH,Vadodara,0-5 Yrs,"VIDEO PROCESSING
COMPUTER VISION
MACHINE LERNING
ML
OOPs
c / c++
python
DL"
241,Software Developer - NLP/Data Science/Machine Learning,Cunesoft India Private Limited (a Phlexglobal Company),Bangalore/Bengaluru,3-8 Yrs,"Data Science
NLP
Machine Learning
IT Skills
Java
Python
Testing
Cloud"
242,Machine Learning Researcher,Squareroot Consulting Pvt Ltd.,Bangalore/Bengaluru,2-6 Yrs,"Problem Solving
AI
Mathematics
Machine Learning
Phd
Statistics
Deep Learning
Nosql"
243,Senior Manager - Retail Analytics/Machine Learning - KPO - IIM/MDI/ISB,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,5-10 Yrs,"Retail Analytics
Machine Learning
Statistics
Analytics"
244,Sr Manager/Operations Research Scientist - Machine Learning/Algorithm,Career Maker,Bangalore/Bengaluru,5-10 Yrs,"IT Skills
Java
Python
Machine Learning
BPO
hindi
C++
Transportation"
245,Lead Machine Learning Engineer/ Data Scientist,whiz.ai,Pune,5-9 Yrs,"Data Science
Nlp
Logistic Regression
Data Scientist
Big Data
Machine Learning
Deep Learning
Scikit - Learn"
246,"Data Scientist, Machine Learning",Fractal Analytics,Bengaluru,3-7 Yrs,"Supply chain management
Linux
RF
RDBMS
Bfsi
Consulting
Data structures
Healthcare"
247,Data Scientist - Machine Learning,RPA Infotech Pvt.Ltd,Gurgaon,2-7 Yrs,"Computer science
Operations research
data science
Bfsi
Network analysis
Machine learning
Social networking
Natural language processing"
248,Chatbot Developer - Machine Learning/Artificial Intelligence,MY Search,Bangalore/Bengaluru,3-5 Yrs,"Google Dialog
NLP
ML
Twilio
AWS
GCP
Javascript
Node js"
249,Data Science Analyst - Machine/Deep Learning Algorithms,isparrow services Pvt ltd,"Pune, Ahmedabad, Bangalore/Bengaluru",5-10 Yrs,"Python
C
AI
IT Skills
Data Science
C++
Artificial Intelligence
Neural Networks"
250,Data Science / Machine Learning stream project intern,Vikatan,Chennai,0-1 Yrs,"Computer science
Printing
Power house
Publishing
data science
Machine learning
Manager Technology
digital transformation"
251,Urgent Hiring For Machine Learning Engineer - Backend - Pan India,Cygnus A D Management Consulting LLP,india,3-8 Yrs,"Business Communication
Tensorflow
Backend
testing
Automation Testing
Business Presentations
Computer Vision
Machine Learning"
252,Machine Learning Engineer - Python,Catalyst,Bangalore/Bengaluru,2-7 Yrs,"Python
Analytics
Data Science
IT Skills
Machine Learning
Data Scientist
Machine Learning Engineer
Algorithm"
253,Google Cloud Platform Engineer - Machine Learning,FleXc,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-8 Yrs,"IT Skills
Testing
Machine Learning
Cloud
Tensorflow
BigQuery
Google Cloud Platform
Statistical Modeling"
254,R&D Expert - NLP/Machine Learning - Java/C#/C++/Python/Perl,Career Maker,Bangalore/Bengaluru,7-11 Yrs,"Java
Machine Learning
NLP
algorithms
oriented
C#
data structures
Computational"
255,Machine Learning Operations For AI based Tech Company,The Recruiters,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru
(WFH during Covid)",7-12 Yrs,"Lambda
S3
CI / CD
EC2
Cloud Watch
Kubernetes
Terraform
Docker"
256,Machine Learning Head - Algorithm/Numpy/Tensorflow,Job Fittment Finder,"Pune, Delhi / NCR",10-15 Yrs,"Machine Learning
Algorithm
Numpy
IT Skills
Python
Software Development
Testing
Data Science"
257,SAS Programmer - Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,3-7 Yrs,"IT Skills
Machine Learning
Logistic Regression
SAS
Predictive Modelling
clustering"
258,Software Development Manager - Machine Learning - Java/Perl/AWS,Career Maker,Bangalore/Bengaluru,10-15 Yrs,"Java
Perl
AWS
Scrum
AgileScrum
UNIX
written communication
LinuxUnix"
259,Machine Learning Scientist - R/Python,Career Maker,Bangalore/Bengaluru,5-10 Yrs,"r
python
java
IT Skills
Software Development
Machine Learning
eCommerce
Data Scientist"
260,Artificial Intelligence Engineer/ Machine Learning,Krazy Mantra HR Solutions Pvt. Ltd,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",10-20 Yrs,"machine learning
IT Skills
Artificial Intelligence
Natural Language Processing
Cassandra
MongoDB
Computer Vision
Python"
261,Director - Analytics - Machine Learning - KPO - IIT/IIM/XLRI/MDI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,7-10 Yrs,"publishing tools
Machine Learning
Analytics
python libraries
TensorFlow
Pytorch
IT Skills
Python"
262,Machine Learning Engineer - Microservices Architecture,Praaxis Consultants,Ahmedabad,6-11 Yrs,"Microservices Architecture
Machine Learning
Python
PowerBI
PySpark
Caffe
communication
Keras"
263,Director - Analytics - Machine Learning - KPO - IIT/IIM/XLRI/MDI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,7-10 Yrs,"IT Skills
Python
Machine Learning
Data Analytics
Analytics"
264,Director - Analytics - Machine Learning - KPO - IIT/IIM/XLRI/MDI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,7-10 Yrs,"TensorFlow
python libraries
Pytorch
analytics
IT Skills
Python
Machine Learning
Director Analytics"
265,Machine Learning Head - Algorithm/ Numpy/ Tensorflow,Job Fittment Finder,"Pune, Delhi / NCR",10-15 Yrs,"Machine Learning
Algorithm
Numpy
IT Skills
Python
Software Development
Testing
Data Science"
266,Lead Machine Learning,First Employer,"Pune, pune, Delhi NCR",5-8 Yrs,"verbal communications
OOPs
Python
IT Skills
Machine Learning
Cloud
Tensorflow
Sklearn"
267,SAS Programmer - Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,3-7 Yrs,"SAS Predictive Modelling
SAS
Machine Learning
SAS analytics
communication
Analytics
Word
PowerPoint"
268,Machine Learning Scientist - Python/ Java/ C++,Career Maker,Hyderabad/Secunderabad,8-12 Yrs,"Deep Learning
analysis
Machine Learning
communication
modeling
SQL
C++
Python"
269,SAS Programmer - Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,3-7 Yrs,"Logistic Regression
SAS
Machine Learning
IT Skills
Predictive Modeling
Excel
Segmentation
Clustering"
270,Software Engineer - Artificial Intelligence/ Machine Learning,Confidential,Trivandrum/Thiruvananthapuram,1-2 Yrs,"Machine Learning
AI
IT Skills
Testing
Pattern Recognition
Production support
Project monitoring
Artificial Intelligence"
271,Machine Learning and AI,Network Techlab (I) Pvt. Ltd,Mumbai,9-10 Yrs,"Automation
SAP
SOC
SAP CRM
CMS
Troubleshooting
MS Office
Information technology"
272,"Senior Software Engineer, Compilers, Machine Learning Accelerator",Google,Bangalore/Bengaluru,5-10 Yrs,"Computer science
Data analysis
Software design
Networking
Artificial Intelligence
Debugging
Machine learning
Data structures"
